{'epoch': 93, 'trainloss': 0.1088, 'testloss': 0.5098, 'trainiou': 0.9445, 'testiou': 0.7994, 'trainbiou': 0.8734, 'testbiou': 0.6744, 'trainscore': 0.9089, 'testscore': 0.7369}
{'epoch': 94, 'trainloss': 0.109, 'testloss': 0.6626, 'trainiou': 0.9444, 'testiou': 0.7644, 'trainbiou': 0.8732, 'testbiou': 0.6452, 'trainscore': 0.9088, 'testscore': 0.7048}
{'epoch': 95, 'trainloss': 0.1323, 'testloss': 0.606, 'trainiou': 0.9354, 'testiou': 0.7691, 'trainbiou': 0.8532, 'testbiou': 0.6507, 'trainscore': 0.8943, 'testscore': 0.7099}
{'epoch': 96, 'trainloss': 0.1095, 'testloss': 0.6126, 'trainiou': 0.9445, 'testiou': 0.7821, 'trainbiou': 0.8735, 'testbiou': 0.661, 'trainscore': 0.909, 'testscore': 0.7215}
{'epoch': 97, 'trainloss': 0.1072, 'testloss': 0.5551, 'trainiou': 0.9464, 'testiou': 0.8069, 'trainbiou': 0.8773, 'testbiou': 0.6966, 'trainscore': 0.9118, 'testscore': 0.7517}
{'epoch': 98, 'trainloss': 0.1038, 'testloss': 0.4704, 'trainiou': 0.9467, 'testiou': 0.832, 'trainbiou': 0.878, 'testbiou': 0.7285, 'trainscore': 0.9123, 'testscore': 0.7802}
{'epoch': 99, 'trainloss': 0.1092, 'testloss': 0.4213, 'trainiou': 0.9443, 'testiou': 0.8372, 'trainbiou': 0.8728, 'testbiou': 0.7274, 'trainscore': 0.9086, 'testscore': 0.7823}
{'epoch': 100, 'trainloss': 0.1092, 'testloss': 0.5008, 'trainiou': 0.9445, 'testiou': 0.8123, 'trainbiou': 0.8728, 'testbiou': 0.7021, 'trainscore': 0.9087, 'testscore': 0.7572}
{'epoch': 101, 'trainloss': 0.1106, 'testloss': 0.4548, 'trainiou': 0.9444, 'testiou': 0.8295, 'trainbiou': 0.873, 'testbiou': 0.7226, 'trainscore': 0.9087, 'testscore': 0.7761}
{'epoch': 102, 'trainloss': 0.1013, 'testloss': 0.485, 'trainiou': 0.948, 'testiou': 0.8223, 'trainbiou': 0.8807, 'testbiou': 0.7193, 'trainscore': 0.9144, 'testscore': 0.7708}
{'epoch': 103, 'trainloss': 0.1039, 'testloss': 0.4885, 'trainiou': 0.9468, 'testiou': 0.8204, 'trainbiou': 0.878, 'testbiou': 0.7187, 'trainscore': 0.9124, 'testscore': 0.7696}
{'epoch': 104, 'trainloss': 0.1013, 'testloss': 0.355, 'trainiou': 0.9475, 'testiou': 0.8573, 'trainbiou': 0.8797, 'testbiou': 0.7562, 'trainscore': 0.9136, 'testscore': 0.8067}
{'epoch': 105, 'trainloss': 0.1101, 'testloss': 0.5324, 'trainiou': 0.944, 'testiou': 0.8079, 'trainbiou': 0.8722, 'testbiou': 0.6995, 'trainscore': 0.9081, 'testscore': 0.7537}
{'epoch': 106, 'trainloss': 0.1102, 'testloss': 0.5991, 'trainiou': 0.9445, 'testiou': 0.8017, 'trainbiou': 0.8732, 'testbiou': 0.6976, 'trainscore': 0.9089, 'testscore': 0.7496}
{'epoch': 107, 'trainloss': 0.1167, 'testloss': 0.5852, 'trainiou': 0.9435, 'testiou': 0.8015, 'trainbiou': 0.8705, 'testbiou': 0.6923, 'trainscore': 0.907, 'testscore': 0.7469}
{'epoch': 108, 'trainloss': 0.1043, 'testloss': 0.6852, 'trainiou': 0.948, 'testiou': 0.7707, 'trainbiou': 0.8803, 'testbiou': 0.655, 'trainscore': 0.9141, 'testscore': 0.7128}
{'epoch': 109, 'trainloss': 0.1242, 'testloss': 0.7522, 'trainiou': 0.9425, 'testiou': 0.7569, 'trainbiou': 0.8678, 'testbiou': 0.6407, 'trainscore': 0.9052, 'testscore': 0.6988}
{'epoch': 110, 'trainloss': 0.1146, 'testloss': 0.5746, 'trainiou': 0.9434, 'testiou': 0.7956, 'trainbiou': 0.8702, 'testbiou': 0.6855, 'trainscore': 0.9068, 'testscore': 0.7406}
{'epoch': 111, 'trainloss': 0.1185, 'testloss': 0.7207, 'trainiou': 0.9419, 'testiou': 0.7553, 'trainbiou': 0.8681, 'testbiou': 0.6451, 'trainscore': 0.905, 'testscore': 0.7002}
{'epoch': 112, 'trainloss': 0.1044, 'testloss': 0.6634, 'trainiou': 0.9466, 'testiou': 0.7781, 'trainbiou': 0.8779, 'testbiou': 0.6701, 'trainscore': 0.9122, 'testscore': 0.7241}
{'epoch': 113, 'trainloss': 0.108, 'testloss': 0.519, 'trainiou': 0.9452, 'testiou': 0.8125, 'trainbiou': 0.8741, 'testbiou': 0.7042, 'trainscore': 0.9097, 'testscore': 0.7583}
{'epoch': 114, 'trainloss': 0.1389, 'testloss': 0.5566, 'trainiou': 0.934, 'testiou': 0.7801, 'trainbiou': 0.8501, 'testbiou': 0.6711, 'trainscore': 0.8921, 'testscore': 0.7256}
{'epoch': 115, 'trainloss': 0.1257, 'testloss': 0.54, 'trainiou': 0.9385, 'testiou': 0.8085, 'trainbiou': 0.8605, 'testbiou': 0.7031, 'trainscore': 0.8995, 'testscore': 0.7558}
{'epoch': 116, 'trainloss': 0.1133, 'testloss': 0.6279, 'trainiou': 0.9431, 'testiou': 0.7776, 'trainbiou': 0.8705, 'testbiou': 0.6672, 'trainscore': 0.9068, 'testscore': 0.7224}
{'epoch': 117, 'trainloss': 0.1048, 'testloss': 0.5381, 'trainiou': 0.9463, 'testiou': 0.8102, 'trainbiou': 0.8769, 'testbiou': 0.7016, 'trainscore': 0.9116, 'testscore': 0.7559}
{'epoch': 118, 'trainloss': 0.1015, 'testloss': 0.5558, 'trainiou': 0.9475, 'testiou': 0.8045, 'trainbiou': 0.8794, 'testbiou': 0.6941, 'trainscore': 0.9134, 'testscore': 0.7493}
